year,period,value,updated_at
1989,M04,117.6,2025-01-30T00:00:00Z
1989,M05,112.6,2025-01-30T00:00:00Z
1989,M06,110.6,2025-01-30T00:00:00Z
1989,M07,112.8,2025-01-30T00:00:00Z
1989,M08,115.2,2025-01-30T00:00:00Z
1989,M09,124.6,2025-01-30T00:00:00Z
1989,M10,122.9,2025-01-30T00:00:00Z
1989,M11,129.4,2025-01-30T00:00:00Z
1989,M12,134.9,2025-01-30T00:00:00Z
1990,M01,143.9,2025-01-30T00:00:00Z
1990,M02,124.7,2025-01-30T00:00:00Z
1990,M03,131.6,2025-01-30T00:00:00Z
1990,M04,130.3,2025-01-30T00:00:00Z
1990,M05,115.0,2025-01-30T00:00:00Z
1990,M06,112.2,2025-01-30T00:00:00Z
1990,M07,109.1,2025-01-30T00:00:00Z
1990,M08,119.6,2025-01-30T00:00:00Z
1990,M09,120.6,2025-01-30T00:00:00Z
1990,M10,125.5,2025-01-30T00:00:00Z
1990,M11,128.5,2025-01-30T00:00:00Z
1990,M12,128.7,2025-01-30T00:00:00Z
1991,M01,139.8,2025-01-30T00:00:00Z
1991,M02,125.4,2025-01-30T00:00:00Z
1991,M03,133.1,2025-01-30T00:00:00Z
1991,M04,124.8,2025-01-30T00:00:00Z
1991,M05,112.4,2025-01-30T00:00:00Z
1991,M06,110.2,2025-01-30T00:00:00Z
1991,M07,113.9,2025-01-30T00:00:00Z
1991,M08,121.0,2025-01-30T00:00:00Z
1991,M09,118.0,2025-01-30T00:00:00Z
1991,M10,116.8,2025-01-30T00:00:00Z
1991,M11,115.4,2025-01-30T00:00:00Z
1991,M12,123.5,2025-01-30T00:00:00Z
1992,M01,113.9,2025-01-30T00:00:00Z
1992,M02,110.7,2025-01-30T00:00:00Z
1992,M03,106.0,2025-01-30T00:00:00Z
1992,M04,105.1,2025-01-30T00:00:00Z
1992,M05,104.2,2025-01-30T00:00:00Z
1992,M06,100.7,2025-01-30T00:00:00Z
1992,M07,104.7,2025-01-30T00:00:00Z
1992,M08,102.2,2025-01-30T00:00:00Z
1992,M09,111.6,2025-01-30T00:00:00Z
1992,M10,109.3,2025-01-30T00:00:00Z
1992,M11,113.4,2025-01-30T00:00:00Z
1992,M12,117.7,2025-01-30T00:00:00Z
1993,M01,116.2,2025-01-30T00:00:00Z
1993,M02,115.6,2025-01-30T00:00:00Z
1993,M03,120.3,2025-01-30T00:00:00Z
1993,M04,126.9,2025-01-30T00:00:00Z
1993,M05,114.9,2025-01-30T00:00:00Z
1993,M06,116.4,2025-01-30T00:00:00Z
1993,M07,115.1,2025-01-30T00:00:00Z
1993,M08,117.4,2025-01-30T00:00:00Z
1993,M09,113.4,2025-01-30T00:00:00Z
1993,M10,114.9,2025-01-30T00:00:00Z
1993,M11,118.0,2025-01-30T00:00:00Z
1993,M12,116.0,2025-01-30T00:00:00Z
1994,M01,118.5,2025-01-30T00:00:00Z
1994,M02,117.4,2025-01-30T00:00:00Z
1994,M03,120.5,2025-01-30T00:00:00Z
1994,M04,115.7,2025-01-30T00:00:00Z
1994,M05,107.3,2025-01-30T00:00:00Z
1994,M06,110.8,2025-01-30T00:00:00Z
1994,M07,109.2,2025-01-30T00:00:00Z
1994,M08,115.5,2025-01-30T00:00:00Z
1994,M09,113.9,2025-01-30T00:00:00Z
1994,M10,110.4,2025-01-30T00:00:00Z
1994,M11,115.4,2025-01-30T00:00:00Z
1994,M12,116.4,2025-01-30T00:00:00Z
1995,M01,115.4,2025-01-30T00:00:00Z
1995,M02,113.9,2025-01-30T00:00:00Z
1995,M03,115.3,2025-01-30T00:00:00Z
1995,M04,112.0,2025-01-30T00:00:00Z
1995,M05,110.0,2025-01-30T00:00:00Z
1995,M06,109.6,2025-01-30T00:00:00Z
1995,M07,114.5,2025-01-30T00:00:00Z
1995,M08,125.8,2025-01-30T00:00:00Z
1995,M09,122.7,2025-01-30T00:00:00Z
1995,M10,126.2,2025-01-30T00:00:00Z
1995,M11,134.7,2025-01-30T00:00:00Z
1995,M12,145.5,2025-01-30T00:00:00Z
1996,M01,145.7,2025-01-30T00:00:00Z
1996,M02,141.2,2025-01-30T00:00:00Z
1996,M03,145.9,2025-01-30T00:00:00Z
1996,M04,141.8,2025-01-30T00:00:00Z
1996,M05,132.3,2025-01-30T00:00:00Z
1996,M06,132.7,2025-01-30T00:00:00Z
1996,M07,133.2,2025-01-30T00:00:00Z
1996,M08,138.1,2025-01-30T00:00:00Z
1996,M09,143.5,2025-01-30T00:00:00Z
1996,M10,142.6,2025-01-30T00:00:00Z
1996,M11,145.6,2025-01-30T00:00:00Z
1996,M12,162.9,2025-01-30T00:00:00Z
1997,M01,149.0,2025-01-30T00:00:00Z
1997,M02,147.7,2025-01-30T00:00:00Z
1997,M03,141.0,2025-01-30T00:00:00Z
1997,M04,140.0,2025-01-30T00:00:00Z
1997,M05,133.4,2025-01-30T00:00:00Z
1997,M06,128.8,2025-01-30T00:00:00Z
1997,M07,132.9,2025-01-30T00:00:00Z
1997,M08,137.7,2025-01-30T00:00:00Z
1997,M09,136.9,2025-01-30T00:00:00Z
1997,M10,135.9,2025-01-30T00:00:00Z
1997,M11,145.1,2025-01-30T00:00:00Z
1997,M12,151.1,2025-01-30T00:00:00Z
1998,M01,143.8,2025-01-30T00:00:00Z
1998,M02,137.3,2025-01-30T00:00:00Z
1998,M03,136.4,2025-01-30T00:00:00Z
1998,M04,139.1,2025-01-30T00:00:00Z
1998,M05,128.6,2025-01-30T00:00:00Z
1998,M06,126.3,2025-01-30T00:00:00Z
1998,M07,127.5,2025-01-30T00:00:00Z
1998,M08,135.4,2025-01-30T00:00:00Z
1998,M09,132.4,2025-01-30T00:00:00Z
1998,M10,136.1,2025-01-30T00:00:00Z
1998,M11,139.4,2025-01-30T00:00:00Z
1998,M12,142.9,2025-01-30T00:00:00Z
1999,M01,137.8,2025-01-30T00:00:00Z
1999,M02,138.2,2025-01-30T00:00:00Z
1999,M03,134.2,2025-01-30T00:00:00Z
1999,M04,129.6,2025-01-30T00:00:00Z
1999,M05,121.4,2025-01-30T00:00:00Z
1999,M06,125.1,2025-01-30T00:00:00Z
1999,M07,119.5,2025-01-30T00:00:00Z
1999,M08,130.8,2025-01-30T00:00:00Z
1999,M09,128.2,2025-01-30T00:00:00Z
1999,M10,119.8,2025-01-30T00:00:00Z
1999,M11,128.8,2025-01-30T00:00:00Z
1999,M12,124.0,2025-01-30T00:00:00Z
2000,M01,133.9,2025-01-30T00:00:00Z
2000,M02,131.7,2025-01-30T00:00:00Z
2000,M03,127.1,2025-01-30T00:00:00Z
2000,M04,129.5,2025-01-30T00:00:00Z
2000,M05,124.1,2025-01-30T00:00:00Z
2000,M06,125.9,2025-01-30T00:00:00Z
2000,M07,125.5,2025-01-30T00:00:00Z
2000,M08,130.5,2025-01-30T00:00:00Z
2000,M09,132.0,2025-01-30T00:00:00Z
2000,M10,136.1,2025-01-30T00:00:00Z
2000,M11,140.4,2025-01-30T00:00:00Z
2000,M12,145.5,2025-01-30T00:00:00Z
2001,M01,150.4,2025-01-30T00:00:00Z
2001,M02,142.9,2025-01-30T00:00:00Z
2001,M03,139.2,2025-01-30T00:00:00Z
2001,M04,144.7,2025-01-30T00:00:00Z
2001,M05,131.1,2025-01-30T00:00:00Z
2001,M06,130.8,2025-01-30T00:00:00Z
2001,M07,129.6,2025-01-30T00:00:00Z
2001,M08,133.0,2025-01-30T00:00:00Z
2001,M09,131.4,2025-01-30T00:00:00Z
2001,M10,132.3,2025-01-30T00:00:00Z
2001,M11,138.4,2025-01-30T00:00:00Z
2001,M12,133.5,2025-01-30T00:00:00Z
2002,M01,138.4,2025-01-30T00:00:00Z
2002,M02,138.6,2025-01-30T00:00:00Z
2002,M03,141.0,2025-01-30T00:00:00Z
2002,M04,138.4,2025-01-30T00:00:00Z
2002,M05,131.8,2025-01-30T00:00:00Z
2002,M06,136.0,2025-01-30T00:00:00Z
2002,M07,134.8,2025-01-30T00:00:00Z
2002,M08,138.5,2025-01-30T00:00:00Z
2002,M09,136.1,2025-01-30T00:00:00Z
